Field,Raw_Value,Normalized_Value,Confidence,Method,Explanation
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Fototracker,Fototracker,1.0,direct_project_map,Project 'Fototracker' maps to 'Fototracker'
Product,Fototracker,Fototracker,1.0,direct_project_map,Project 'Fototracker' maps to 'Fototracker'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-mohamed.yasser@fotopiatech.com' -> 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-mohamed.yasser@fotopiatech.com' -> 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Fototracker,Fototracker,1.0,direct_project_map,Project 'Fototracker' maps to 'Fototracker'
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-abdulrahman.saeed@fotopiatech.com' -> 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-abdulrahman.saeed@fotopiatech.com' -> 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-abdulrahman.saeed@fotopiatech.com' -> 'Fotognize'
Product,Miscellaneous,,1.0,client_or_nonproduct,Project 'Miscellaneous' is not a product
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-abdulrahman.saeed@fotopiatech.com' -> 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,Fototracker,Fototracker,1.0,direct_project_map,Project 'Fototracker' maps to 'Fototracker'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-abdulrahman.saeed@fotopiatech.com' -> 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-mohamed.yasser@fotopiatech.com' -> 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,Fotofind,FotoFind,1.0,direct_project_map,Project 'Fotofind' maps to 'FotoFind'
Product,FotoGnize,Fotognize,1.0,direct_project_map,Project 'FotoGnize' maps to 'Fotognize'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture V6.5,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.5' maps to 'FotoCapture'
Product,FotoCapture V6.5,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.5' maps to 'FotoCapture'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,Fotofind,FotoFind,1.0,direct_project_map,Project 'Fotofind' maps to 'FotoFind'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoGnize,Fotognize,1.0,direct_project_map,Project 'FotoGnize' maps to 'Fotognize'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,Fototracker,Fototracker,1.0,direct_project_map,Project 'Fototracker' maps to 'Fototracker'
Product,Fotopia,Fotognize,0.75,fotopia_email_autoclassify,Fotopia bucket: email 'i-abdulrahman.saeed@fotopiatech.com' -> 'Fotognize'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,FotoCapture V6.7,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.7' maps to 'FotoCapture'
Product,FotoCapture V6.6,FotoCapture,1.0,direct_project_map,Project 'FotoCapture V6.6' maps to 'FotoCapture'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,Fototracker,Fototracker,1.0,direct_project_map,Project 'Fototracker' maps to 'Fototracker'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,Foto Gnize V2,Fotognize,1.0,direct_project_map,Project 'Foto Gnize V2' maps to 'Fotognize'
Product,R&D,,1.0,client_or_nonproduct,Project 'R&D' is not a product
Product,R&D,,1.0,client_or_nonproduct,Project 'R&D' is not a product
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,KFH,,1.0,client_or_nonproduct,Project 'KFH' is not a product
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
Product,FotoCapture,FotoCapture,1.0,direct_project_map,Project 'FotoCapture' maps to 'FotoCapture'
